order,run_dir,optimization,main_code_change,current_code_status,training_setting,best_global_epoch,best_acc,best_macro_f1,final_acc,final_macro_f1,best_equals_final,full_eval_sample_avg_acc,full_eval_sample_avg_macro_f1,full_eval_denoise_avg_acc,full_eval_denoise_avg_macro_f1,random_0.3_sample_acc,random_0.3_sample_macro_f1,random_0.3_denoise_acc,random_0.3_denoise_macro_f1,missing_eeg_0.3_sample_acc,missing_eeg_0.3_sample_macro_f1,missing_eeg_0.3_denoise_acc,missing_eeg_0.3_denoise_macro_f1,missing_eye_0.3_sample_acc,missing_eye_0.3_sample_macro_f1,missing_eye_0.3_denoise_acc,missing_eye_0.3_denoise_macro_f1,main_observation,decision_for_paper
0,runs/baseline_window_random_03_long,Original long baseline,Original adversarial diffusion completion; stronger adv/consistency weights; no full multi-missing evaluation file,history only,"10/10/40 stages, random missing 0.3",55,0.7647,0.7582,0.7145,0.6888,no,,,,,,,,,,,,,,,"Best is far better than final, showing later overfitting/instability; lacks full sample/denoise evaluation table",Use only as early baseline if needed; not enough for main ablation table,,
1,runs/eeg_eye_adv,Improved training baseline,"Lower adversarial/consistency weights, warmup, spectral norm, critical U-Net attention, cosine LR, early stopping, eval interval; old MLP fusion",kept as MLP baseline,"10/10/40 stages, random missing 0.3, eval_mode denoise",45,0.8005,0.7899,0.7954,0.7813,no,0.6659,0.6580,0.7903,0.7804,0.7523,0.7438,0.8005,0.7899,0.5926,0.5859,0.7813,0.7742,0.6715,0.6620,0.7911,0.7788,"Best denoise result is strongest among non-slot baselines, but sample mode drops sharply, especially missing_eeg",Use as important baseline; supports claim that denoise diagnostic is not enough
2,runs/eeg_eye_adv_guidance,Condition guidance,Added sampling-time conditional guidance with guidance_scale 1.5,removed,"10/10/40 stages, random missing 0.3, eval_mode denoise",45,0.7834,0.7654,0.7690,0.7435,no,0.6578,0.6443,0.7648,0.7471,0.7366,0.7215,0.7830,0.7648,0.5743,0.5663,0.7774,0.7585,0.6577,0.6402,0.7383,0.7218,Both denoise and sample are worse than improved baseline; guidance was not trained with proper conditional dropout,Negative ablation; explain that naive guidance is ineffective
3,runs/eeg_eye_adv_ddim,DDIM sampler,Added DDIM as optional reverse sampler; trained/evaluated DDIM run,default restored to SDE; DDIM kept optional only,"10/10/40 stages, random missing 0.3, eval_mode denoise",45,0.8004,0.7886,0.7959,0.7839,no,0.6546,0.6457,0.7825,0.7696,0.7489,0.7382,0.8004,0.7886,0.5744,0.5680,0.7643,0.7515,0.6582,0.6473,0.7864,0.7725,DDIM does not improve sample quality and slightly weakens denoise average; SDE remains safer,Report as sampler ablation; keep SDE as default
4,runs/eeg_eye_adv_slot_sde,Slot Fusion + SDE,Replaced final concat MLP fusion with fixed EEG/Eye/Availability Slot Fusion Transformer; SDE default,kept,"10/10/40 stages, random missing 0.3, eval_mode denoise",50,0.7593,0.7390,0.7523,0.7269,no,0.6936,0.6794,0.7248,0.7078,0.7459,0.7273,0.7593,0.7390,0.6441,0.6398,0.6986,0.6893,0.7000,0.6790,0.7230,0.7005,"Sample average improves over MLP baseline, especially missing_eeg/missing_eye sample, but denoise classification decreases",Use as current main structural variant if paper emphasizes target-free sample completion
5,runs/eeg_eye_adv_slot_proxy_sde,Slot + Proxy supervision,"Added extra proxy views, proxy alignment/classification, prototype distribution consistency",removed,"10/10/40 stages, random missing 0.3, eval_mode denoise",25,0.7355,0.7216,0.7293,0.7055,no,0.6688,0.6607,0.7078,0.6906,0.7229,0.7129,0.7355,0.7216,0.6189,0.6159,0.7187,0.7069,0.6747,0.6630,0.6739,0.6487,Proxy supervision increases constraint complexity but hurts both sample and denoise compared with Slot Fusion + SDE,Negative ablation; do not keep in final code
6,runs/eeg_eye_adv_slot_graph_sde,EEG topology/frequency-band graph prior,Injected fixed band adjacency and approximate channel topology prior into EEG encoder,removed,"10/10/40 stages, random missing 0.3, eval_mode denoise",50,0.7619,0.7504,0.7560,0.7413,no,0.6909,0.6791,0.7202,0.7052,0.7504,0.7408,0.7619,0.7504,0.6260,0.6236,0.6859,0.6800,0.7074,0.6841,0.7194,0.6924,"Random 0.3 denoise and EEG reconstruction improve, but full average and missing_eeg classification do not improve stably","Use as negative/partial ablation: improves EEG reconstruction, not final classification"
7,runs/eeg_eye_adv_slot_graph_latent_sde,EEG graph latent consistency,Added graph-prior re-encoding consistency for generated EEG latents on top of graph prior,removed,"10/10/40 stages, random missing 0.3, eval_mode denoise",25,0.7607,0.7412,0.7521,0.7280,no,0.6493,0.6360,0.7349,0.7172,0.7256,0.7090,0.7607,0.7412,0.5982,0.5948,0.7609,0.7503,0.6408,0.6202,0.6877,0.6641,Missing_eeg denoise improves but sample mode becomes much worse; stronger graph constraint overfits diagnostic path,Negative ablation; useful to argue reconstruction/denoise gains do not guarantee sample completion gains
8,docs/slot_sde_missing_rate_results.csv,Missing-rate sensitivity analysis,Compared Slot Fusion + SDE under missing_rate 0.3 and 0.5 for random/missing_eeg/missing_eye and sample/denoise,analysis file,Evaluation only on runs/eeg_eye_adv_slot_sde/best_model.pth,,,,,,,0.3 sample avg=0.6966; 0.5 sample avg=0.6905,0.3 sample avg=0.6820; 0.5 sample avg=0.6769,0.3 denoise avg=0.7269; 0.5 denoise avg=0.7226,0.3 denoise avg=0.7096; 0.5 denoise avg=0.7059,0.7459,0.7273,0.7593,0.7390,0.6441,0.6398,0.6986,0.6893,0.7000,0.6790,0.7230,0.7005,Only random mode is mathematically affected by missing_rate in current mask implementation; fixed missing_eeg/missing_eye ignore missing_rate and therefore change little or not at all,Use this file to explain missing-rate robustness and why fixed missing-mode results are nearly unchanged
9,runs/eeg_eye_adv_slot_sde/uncertainty_eval,Uncertainty-calibrated sample fusion,"At evaluation/sample mode, draw 3 stochastic SDE completions, estimate latent variance, convert variance to confidence, and down-weight high-uncertainty generated latents in fusion",kept optional; disabled by default with uncertainty_samples=1,"Evaluation-only on runs/eeg_eye_adv_slot_sde/best_model.pth; uncertainty_samples=3, uncertainty_temperature=0.1, sample mode only",,,,,,not applicable,0.6802,0.6678,not evaluated,not evaluated,0.7421,0.7255,not evaluated,not evaluated,0.6185,0.6146,not evaluated,not evaluated,0.6929,0.6746,not evaluated,not evaluated,"Compared with Slot Fusion + SDE sample avg, acc drops 0.6936->0.6802 and macro_f1 drops 0.6794->0.6678. MSE decreases on average, but cosine similarity and classification degrade; confidence collapses to min 0.05, so generated latents are over-downweighted.",Negative ablation in current form. It supports the point that uncertainty gating alone cannot solve sample generation; it needs calibration or training-time uncertainty supervision before being used as a contribution.
10,runs/eeg_eye_adv_slot_sample_consistency_sde,Lightweight sample-consistency training + self-conditioning,"Stage3 latter-half sample classification loss, sample-to-teacher KL distillation, and optional SDE/DDIM sampling self-conditioning","kept in code as optional/default training path","10/10/40 stages, random missing 0.3, eval_mode sample, lambda_sample_cls=0.2, lambda_sample_distill=0.05, self_conditioning_sample=true",55,0.7563,0.7438,0.7492,0.7344,no,0.6932,0.6811,0.7169,0.7031,0.7569,0.7446,0.7656,0.7522,0.6288,0.6232,0.6806,0.6756,0.7050,0.6863,0.7141,0.6909,"Compared with Slot Fusion + SDE, sample macro_f1 slightly improves on average 0.6794->0.6811 and random 0.3 sample improves 0.7273->0.7446, but missing_eeg sample drops 0.6398->0.6232. Denoise average also decreases. The optimization helps random/missing_eye sample adaptation but hurts Eye-to-EEG completion.","Partial ablation. Useful evidence that sample-path training helps target-free random/missing_eye sampling, but it needs missing_eeg-aware weighting or direction-specific training before becoming the final main model."
